"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","WORLDBANKINCOMEGROUP (CODE)","WORLDBANKINCOMEGROUP (DISPLAY)","WORLDBANKINCOMEGROUP (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHS9_93","Gross national income per capita (PPP int. $)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=94","PUBLISHED","Published","","2003","2003","","AMR","Americas","","","","","VEN","Venezuela (Bolivarian Republic of)","","9720","9720.00000","","","","",""
"WHS9_93","Gross national income per capita (PPP int. $)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=94","PUBLISHED","Published","","2005","2005","","AMR","Americas","","","","","VEN","Venezuela (Bolivarian Republic of)","","13150","13150.00000","","","","",""
"WHS9_93","Gross national income per capita (PPP int. $)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=94","PUBLISHED","Published","","2008","2008","","AMR","Americas","","","","","VEN","Venezuela (Bolivarian Republic of)","","17250","17250.00000","","","","",""
"WHS9_93","Gross national income per capita (PPP int. $)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=94","PUBLISHED","Published","","2010","2010","","AMR","Americas","","","","","VEN","Venezuela (Bolivarian Republic of)","","15960","15960.00000","","","","",""
"WHS9_93","Gross national income per capita (PPP int. $)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=94","PUBLISHED","Published","","1990","1990","","AMR","Americas","","","","","VEN","Venezuela (Bolivarian Republic of)","","9260","9260.00000","","","","",""
"WHS9_93","Gross national income per capita (PPP int. $)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=94","PUBLISHED","Published","","1992","1992","","AMR","Americas","","","","","VEN","Venezuela (Bolivarian Republic of)","","10720","10720.00000","","","","",""
"WHS9_93","Gross national income per capita (PPP int. $)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=94","PUBLISHED","Published","","1994","1994","","AMR","Americas","","","","","VEN","Venezuela (Bolivarian Republic of)","","10460","10460.00000","","","","",""
"WHS9_93","Gross national income per capita (PPP int. $)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=94","PUBLISHED","Published","","1999","1999","","AMR","Americas","","","","","VEN","Venezuela (Bolivarian Republic of)","","10870","10870.00000","","","","",""
"WHS9_93","Gross national income per capita (PPP int. $)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=94","PUBLISHED","Published","","2001","2001","","AMR","Americas","","","","","VEN","Venezuela (Bolivarian Republic of)","","11710","11710.00000","","","","",""
"WHS9_93","Gross national income per capita (PPP int. $)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=94","PUBLISHED","Published","","1993","1993","","AMR","Americas","","","","","VEN","Venezuela (Bolivarian Republic of)","","10770","10770.00000","","","","",""
